dimension,kappa_true,population_r_bar,mpmath_mle,method,kind,kappa_hat,abs_error,rel_error
3,50.0,0.98,49.99999999999996,Banerjee (Torch),closed_form,50.4749494949494,0.4749494949493993,0.009498989898987986
3,50.0,0.98,49.99999999999996,Sra two-step (CUSF),sra,49.99999959291632,4.0708368231889835e-07,8.141673646377967e-09
3,50.0,0.98,49.99999999999996,Converged Newton (CUSF),converged,50.000000000000675,6.750155989720952e-13,1.3500311979441903e-14
3,50.0,0.98,49.99999999999996,SciPy Brent,reference,49.999999999999915,8.526512829121202e-14,1.7053025658242404e-15
3,50.0,0.98,49.99999999999996,Direct likelihood,reference,49.999997665058224,2.3349417759277458e-06,4.669883551855492e-08
3,200.0,0.995,199.99999999999983,Banerjee,closed_form,200.4937468671688,0.49374686716879523,0.002468734335843976
3,200.0,0.995,199.99999999999983,Sra two-step (SciPy),sra,199.999999992548,7.452001682395348e-09,3.726000841197674e-11
3,200.0,0.995,199.99999999999983,Converged Newton (SciPy),converged,199.999999992548,7.452001682395348e-09,3.726000841197674e-11
3,200.0,0.995,199.99999999999983,Banerjee (Torch),closed_form,200.4937468671688,0.49374686716879523,0.002468734335843976
3,200.0,0.995,199.99999999999983,Sra two-step (CUSF),sra,199.999999992548,7.452001682395348e-09,3.726000841197674e-11
3,200.0,0.995,199.99999999999983,Converged Newton (CUSF),converged,199.999999992548,7.452001682395348e-09,3.726000841197674e-11
3,200.0,0.995,199.99999999999983,SciPy Brent,reference,199.99999999999326,6.73594513500575e-12,3.367972567502875e-14
3,200.0,0.995,199.99999999999983,Direct likelihood,reference,199.99999053543277,9.464567227723819e-06,4.732283613861909e-08
3,1000.0,0.999,999.9999999999991,Banerjee,closed_form,1000.498749874951,0.49874987495104506,0.000498749874951045
3,1000.0,0.999,999.9999999999991,Sra two-step (SciPy),sra,999.9999999909431,9.056861927092541e-09,9.056861927092542e-12
3,1000.0,0.999,999.9999999999991,Converged Newton (SciPy),converged,999.9999999909431,9.056861927092541e-09,9.056861927092542e-12
3,1000.0,0.999,999.9999999999991,Banerjee (Torch),closed_form,1000.498749874951,0.49874987495104506,0.000498749874951045
3,1000.0,0.999,999.9999999999991,Sra two-step (CUSF),sra,999.9999999909417,9.058339855982922e-09,9.058339855982922e-12
3,1000.0,0.999,999.9999999999991,Converged Newton (CUSF),converged,999.9999999909417,9.058339855982922e-09,9.058339855982922e-12
3,1000.0,0.999,999.9999999999991,SciPy Brent,reference,999.9999999999588,4.1154635255225e-11,4.1154635255225e-14
3,1000.0,0.999,999.9999999999991,Direct likelihood,reference,1000.0000273488394,2.7348839353180665e-05,2.7348839353180665e-08
16,1.0,0.062284332675995445,1.0,Banerjee,closed_form,1.0001877673412318,0.00018776734123182592,0.00018776734123182592
16,1.0,0.062284332675995445,1.0,Sra two-step (SciPy),sra,0.9999999999999994,5.551115123125783e-16,5.551115123125783e-16
16,1.0,0.062284332675995445,1.0,Converged Newton (SciPy),converged,0.999999999636488,3.635119982803303e-10,3.635119982803303e-10
16,1.0,0.062284332675995445,1.0,Banerjee (Torch),closed_form,1.0001877673412318,0.00018776734123182592,0.00018776734123182592
16,1.0,0.062284332675995445,1.0,Sra two-step (CUSF),sra,1.000000000000001,1.1102230246251565e-15,1.1102230246251565e-15
16,1.0,0.062284332675995445,1.0,Converged Newton (CUSF),converged,0.999999999636488,3.635119982803303e-10,3.635119982803303e-10
16,1.0,0.062284332675995445,1.0,SciPy Brent,reference,1.0000000000000002,2.220446049250313e-16,2.220446049250313e-16
16,1.0,0.062284332675995445,1.0,Direct likelihood,reference,1.0000000307774197,3.077741972390413e-08,3.077741972390413e-08
16,10.0,0.4876216679793914,10.0,Banerjee,closed_form,10.083638558689529,0.08363855868952896,0.008363855868952896
16,10.0,0.4876216679793914,10.0,Sra two-step (SciPy),sra,9.999999993873244,6.12675599143131e-09,6.12675599143131e-10
16,10.0,0.4876216679793914,10.0,Converged Newton (SciPy),converged,10.0,0.0,0.0
16,10.0,0.4876216679793914,10.0,Banerjee (Torch),closed_form,10.083638558689529,0.08363855868952896,0.008363855868952896
16,10.0,0.4876216679793914,10.0,Sra two-step (CUSF),sra,9.999999993873258,6.1267417805765945e-09,6.126741780576595e-10
16,10.0,0.4876216679793914,10.0,Converged Newton (CUSF),converged,10.000000000000014,1.4210854715202004e-14,1.4210854715202005e-15
16,10.0,0.4876216679793914,10.0,SciPy Brent,reference,9.999999999999998,1.7763568394002505e-15,1.7763568394002506e-16
16,10.0,0.4876216679793914,10.0,Direct likelihood,reference,9.99999984796214,1.5203785963535665e-07,1.5203785963535665e-08
16,50.0,0.8599000156617567,49.99999999999998,Banerjee,closed_form,50.36062174800419,0.360621748004192,0.00721243496008384
16,50.0,0.8599000156617567,49.99999999999998,Sra two-step (SciPy),sra,49.99999989368617,1.0631382707515513e-07,2.1262765415031027e-09
16,50.0,0.8599000156617567,49.99999999999998,Converged Newton (SciPy),converged,49.99999999999856,1.4424017535930034e-12,2.8848035071860065e-14
16,50.0,0.8599000156617567,49.99999999999998,Banerjee (Torch),closed_form,50.36062174800419,0.360621748004192,0.00721243496008384
16,50.0,0.8599000156617567,49.99999999999998,Sra two-step (CUSF),sra,49.99999989368611,1.0631389102400135e-07,2.126277820480027e-09
16,50.0,0.8599000156617567,49.99999999999998,Converged Newton (CUSF),converged,49.999999999998494,1.5063505998114124e-12,3.012701199622825e-14
16,50.0,0.8599000156617567,49.99999999999998,SciPy Brent,reference,49.99999999999996,4.263256414560601e-14,8.526512829121202e-16
16,50.0,0.8599000156617567,49.99999999999998,Direct likelihood,reference,49.99999995632614,4.367385741943508e-08,8.734771483887016e-10
16,200.0,0.9631122556271763,200.0,Banerjee,closed_form,200.4622093155677,0.46220931556769074,0.0023110465778384535
16,200.0,0.9631122556271763,200.0,Sra two-step (SciPy),sra,199.99999999464467,5.355332177714445e-09,2.6776660888572224e-11
16,200.0,0.9631122556271763,200.0,Converged Newton (SciPy),converged,199.99999999464467,5.355332177714445e-09,2.6776660888572224e-11
16,200.0,0.9631122556271763,200.0,Banerjee (Torch),closed_form,200.4622093155677,0.46220931556769074,0.0023110465778384535
16,200.0,0.9631122556271763,200.0,Sra two-step (CUSF),sra,199.99999999464467,5.355332177714445e-09,2.6776660888572224e-11
16,200.0,0.9631122556271763,200.0,Converged Newton (CUSF),converged,199.99999999464467,5.355332177714445e-09,2.6776660888572224e-11
16,200.0,0.9631122556271763,200.0,SciPy Brent,reference,200.0000000000015,1.5063505998114124e-12,7.531752999057062e-15
16,200.0,0.9631122556271763,200.0,Direct likelihood,reference,199.99999674425212,3.255747884622906e-06,1.627873942311453e-08
16,1000.0,0.9925243991133803,999.9999999999956,Banerjee,closed_form,1000.4922881275202,0.4922881275201689,0.0004922881275201689
16,1000.0,0.9925243991133803,999.9999999999956,Sra two-step (SciPy),sra,999.9999999908748,9.125187716563232e-09,9.125187716563233e-12
16,1000.0,0.9925243991133803,999.9999999999956,Converged Newton (SciPy),converged,999.9999999908748,9.125187716563232e-09,9.125187716563233e-12
16,1000.0,0.9925243991133803,999.9999999999956,Banerjee (Torch),closed_form,1000.4922881275202,0.4922881275201689,0.0004922881275201689
16,1000.0,0.9925243991133803,999.9999999999956,Sra two-step (CUSF),sra,999.9999999908748,9.125187716563232e-09,9.125187716563233e-12
16,1000.0,0.9925243991133803,999.9999999999956,Converged Newton (CUSF),converged,999.9999999908748,9.125187716563232e-09,9.125187716563233e-12
16,1000.0,0.9925243991133803,999.9999999999956,SciPy Brent,reference,999.9999999999966,3.410605131648481e-12,3.4106051316484808e-15
16,1000.0,0.9925243991133803,999.9999999999956,Direct likelihood,reference,999.9999498808338,5.011916618968826e-05,5.011916618968826e-08
64,1.0,0.015621302598621635,1.0,Banerjee,closed_form,1.0000035802904943,3.5802904942983105e-06,3.5802904942983105e-06
64,1.0,0.015621302598621635,1.0,Sra two-step (SciPy),sra,1.0000000000000044,4.440892098500626e-15,4.440892098500626e-15
64,1.0,0.015621302598621635,1.0,Converged Newton (SciPy),converged,0.9999999999999973,2.6645352591003757e-15,2.6645352591003757e-15
64,1.0,0.015621302598621635,1.0,Banerjee (Torch),closed_form,1.0000035802904943,3.5802904942983105e-06,3.5802904942983105e-06
64,1.0,0.015621302598621635,1.0,Sra two-step (CUSF),sra,1.0000000000000044,4.440892098500626e-15,4.440892098500626e-15
64,1.0,0.015621302598621635,1.0,Converged Newton (CUSF),converged,0.9999999999999973,2.6645352591003757e-15,2.6645352591003757e-15
64,1.0,0.015621302598621635,1.0,SciPy Brent,reference,1.000000000000016,1.5987211554602254e-14,1.5987211554602254e-14
64,1.0,0.015621302598621635,1.0,Direct likelihood,reference,1.0000002615346224,2.615346224033033e-07,2.615346224033033e-07
64,10.0,0.15271190419708314,10.0,Banerjee,closed_form,10.003286383996496,0.003286383996496056,0.00032863839964960564
64,10.0,0.15271190419708314,10.0,Sra two-step (SciPy),sra,10.00000000000007,6.927791673660977e-14,6.927791673660977e-15
64,10.0,0.15271190419708314,10.0,Converged Newton (SciPy),converged,10.00000000000007,6.927791673660977e-14,6.927791673660977e-15
64,10.0,0.15271190419708314,10.0,Banerjee (Torch),closed_form,10.003286383996496,0.003286383996496056,0.00032863839964960564
64,10.0,0.15271190419708314,10.0,Sra two-step (CUSF),sra,9.999999999999952,4.796163466380676e-14,4.7961634663806766e-15
64,10.0,0.15271190419708314,10.0,Converged Newton (CUSF),converged,9.999999999999952,4.796163466380676e-14,4.7961634663806766e-15
64,10.0,0.15271190419708314,10.0,SciPy Brent,reference,10.000000000000128,1.2789769243681803e-13,1.2789769243681804e-14
64,10.0,0.15271190419708314,10.0,Direct likelihood,reference,9.99999967371455,3.2628545021395894e-07,3.262854502139589e-08
64,50.0,0.5493944888798394,49.99999999999999,Banerjee,closed_form,50.124807629533706,0.12480762953370572,0.0024961525906741144
64,50.0,0.5493944888798394,49.99999999999999,Sra two-step (SciPy),sra,49.999999999603524,3.964757411267783e-10,7.929514822535566e-12
64,50.0,0.5493944888798394,49.99999999999999,Converged Newton (SciPy),converged,49.999999999603524,3.964757411267783e-10,7.929514822535566e-12
64,50.0,0.5493944888798394,49.99999999999999,Banerjee (Torch),closed_form,50.124807629533706,0.12480762953370572,0.0024961525906741144
64,50.0,0.5493944888798394,49.99999999999999,Sra two-step (CUSF),sra,49.999999999603524,3.964757411267783e-10,7.929514822535566e-12
64,50.0,0.5493944888798394,49.99999999999999,Converged Newton (CUSF),converged,49.999999999603524,3.964757411267783e-10,7.929514822535566e-12
64,50.0,0.5493944888798394,49.99999999999999,SciPy Brent,reference,49.99999999999999,7.105427357601002e-15,1.4210854715202004e-16
64,50.0,0.5493944888798394,49.99999999999999,Direct likelihood,reference,50.00000133659641,1.3365964122158402e-06,2.6731928244316805e-08
64,200.0,0.8544971843744632,199.99999999999997,Banerjee,closed_form,200.3594169296694,0.35941692966940764,0.0017970846483470382
64,200.0,0.8544971843744632,199.99999999999997,Sra two-step (SciPy),sra,199.999999998408,1.59201363203465e-09,7.96006816017325e-12
64,200.0,0.8544971843744632,199.99999999999997,Converged Newton (SciPy),converged,199.999999998408,1.59201363203465e-09,7.96006816017325e-12
64,200.0,0.8544971843744632,199.99999999999997,Banerjee (Torch),closed_form,200.3594169296694,0.35941692966940764,0.0017970846483470382
64,200.0,0.8544971843744632,199.99999999999997,Sra two-step (CUSF),sra,199.9999999956077,4.392290975374635e-09,2.1961454876873178e-11
64,200.0,0.8544971843744632,199.99999999999997,Converged Newton (CUSF),converged,199.9999999956077,4.392290975374635e-09,2.1961454876873178e-11
64,200.0,0.8544971843744632,199.99999999999997,SciPy Brent,reference,200.00000000000003,2.842170943040401e-14,1.4210854715202004e-16
64,200.0,0.8544971843744632,199.99999999999997,Direct likelihood,reference,199.9999946613945,5.338605490123882e-06,2.6693027450619412e-08
64,1000.0,0.9689807403096334,999.9999999999985,Banerjee,closed_form,1000.4689789878578,0.46897898785778125,0.00046897898785778125
64,1000.0,0.9689807403096334,999.9999999999985,Sra two-step (SciPy),sra,999.9999999974218,2.5781901058508083e-09,2.5781901058508084e-12
64,1000.0,0.9689807403096334,999.9999999999985,Converged Newton (SciPy),converged,999.9999999974218,2.5781901058508083e-09,2.5781901058508084e-12
64,1000.0,0.9689807403096334,999.9999999999985,Banerjee (Torch),closed_form,1000.4689789878578,0.46897898785778125,0.00046897898785778125
64,1000.0,0.9689807403096334,999.9999999999985,Sra two-step (CUSF),sra,1000.0000000010267,1.0267058314639144e-09,1.0267058314639144e-12
64,1000.0,0.9689807403096334,999.9999999999985,Converged Newton (CUSF),converged,1000.0000000010267,1.0267058314639144e-09,1.0267058314639144e-12
64,1000.0,0.9689807403096334,999.9999999999985,SciPy Brent,reference,1000.0000000000055,5.4569682106375694e-12,5.4569682106375695e-15
64,1000.0,0.9689807403096334,999.9999999999985,Direct likelihood,reference,1000.0000144640716,1.4464071568909276e-05,1.4464071568909276e-08
256,1.0,0.003906190859183789,1.0,Banerjee,closed_form,1.0000000586770361,5.867703611883712e-08,5.867703611883712e-08
256,1.0,0.003906190859183789,1.0,Sra two-step (SciPy),sra,1.000000000000019,1.9095836023552692e-14,1.9095836023552692e-14
256,1.0,0.003906190859183789,1.0,Converged Newton (SciPy),converged,1.0000000000000109,1.0880185641326534e-14,1.0880185641326534e-14
256,1.0,0.003906190859183789,1.0,Banerjee (Torch),closed_form,1.0000000586770361,5.867703611883712e-08,5.867703611883712e-08
256,1.0,0.003906190859183789,1.0,Sra two-step (CUSF),sra,1.000000000000019,1.9095836023552692e-14,1.9095836023552692e-14
256,1.0,0.003906190859183789,1.0,Converged Newton (CUSF),converged,1.0000000000000109,1.0880185641326534e-14,1.0880185641326534e-14
256,1.0,0.003906190859183789,1.0,SciPy Brent,reference,1.0000000000000124,1.2434497875801753e-14,1.2434497875801753e-14
256,1.0,0.003906190859183789,1.0,Direct likelihood,reference,5.054602735062131e-12,0.9999999999949454,0.9999999999949454
256,10.0,0.039003534458180916,10.0,Banerjee,closed_form,10.000058331906338,5.833190633808272e-05,5.8331906338082716e-06
256,10.0,0.039003534458180916,10.0,Sra two-step (SciPy),sra,10.000000000000309,3.090860900556436e-13,3.0908609005564356e-14
256,10.0,0.039003534458180916,10.0,Converged Newton (SciPy),converged,9.999999999998343,1.6573409311604337e-12,1.6573409311604336e-13
256,10.0,0.039003534458180916,10.0,Banerjee (Torch),closed_form,10.000058331906338,5.833190633808272e-05,5.8331906338082716e-06
256,10.0,0.039003534458180916,10.0,Sra two-step (CUSF),sra,9.999999999999739,2.611244553918368e-13,2.611244553918368e-14
256,10.0,0.039003534458180916,10.0,Converged Newton (CUSF),converged,9.999999999998343,1.6573409311604337e-12,1.6573409311604336e-13
256,10.0,0.039003534458180916,10.0,SciPy Brent,reference,10.000000000000018,1.7763568394002505e-14,1.7763568394002505e-15
256,10.0,0.039003534458180916,10.0,Direct likelihood,reference,9.99999974033205,2.59667949364939e-07,2.5966794936493898e-08
256,50.0,0.18842805020212178,50.0,Banerjee,closed_form,50.006373485900475,0.006373485900475373,0.00012746971800950746
256,50.0,0.18842805020212178,50.0,Sra two-step (SciPy),sra,49.999999999999474,5.258016244624741e-13,1.0516032489249483e-14
256,50.0,0.18842805020212178,50.0,Converged Newton (SciPy),converged,49.999999999999474,5.258016244624741e-13,1.0516032489249483e-14
