dimension,kappa_true,num_samples,replicate,r_bar,mpmath_mle,method,kind,kappa_hat,numerical_rel_error,statistical_rel_error
3,200.0,10000,9,0.9950173712071073,200.6972707712882,Converged Newton (CUSF),converged,200.69727076446077,3.401857230755604e-11,0.0034863538223038402
3,200.0,10000,10,0.9949961456036573,199.84594290571394,Converged Newton (CUSF),converged,199.84594289850628,3.6066082411403736e-11,0.0007702855074685999
3,200.0,10000,11,0.9949996904753768,199.98761978147013,Converged Newton (CUSF),converged,199.9876197745666,3.4519734478319234e-11,6.190112716694785e-05
3,200.0,10000,12,0.9950002656657401,200.01062719425906,Converged Newton (CUSF),converged,200.01062718680316,3.727749650695221e-11,5.313593401581329e-05
3,200.0,10000,13,0.9950379813211359,201.5308818283026,Converged Newton (CUSF),converged,201.53088182093947,3.653597369399498e-11,0.007654409104697351
3,200.0,10000,14,0.9949493491977975,197.99428611535077,Converged Newton (CUSF),converged,197.9942861075333,3.948334367289003e-11,0.010028569462333508
3,200.0,10000,15,0.9949995679849327,199.98272089027594,Converged Newton (CUSF),converged,199.98272088328903,3.4937562596269047e-11,8.639558355483246e-05
3,200.0,10000,16,0.9949210807482993,196.89228169263572,Converged Newton (CUSF),converged,196.89228168519068,3.7812748674461435e-11,0.015538591574046592
3,200.0,10000,17,0.995024536297457,200.98629188851194,Converged Newton (CUSF),converged,200.98629188161635,3.4308757140021e-11,0.004931459408081765
3,200.0,10000,18,0.9950387993140846,201.56410984118077,Converged Newton (CUSF),converged,201.56410983391214,3.606110640866362e-11,0.007820549169560707
3,200.0,10000,19,0.9951439222641294,205.9275107178076,Converged Newton (CUSF),converged,205.9275107109617,3.3244126941658574e-11,0.02963755355480856
3,200.0,10000,0,0.9948799403522685,195.3102246461235,SciPy Brent,reference,195.31022464612437,4.511146274799043e-15,0.02344887676937816
3,200.0,10000,1,0.9950012997786438,200.05200466466337,SciPy Brent,reference,200.05200466466164,8.666367918485971e-15,0.0002600233233081894
3,200.0,10000,2,0.9949166714652387,196.72149717683922,SciPy Brent,reference,196.72149717683942,1.011338205879878e-15,0.016392514115802895
3,200.0,10000,3,0.9949793659716936,199.17803097417172,SciPy Brent,reference,199.1780309741707,5.137020054321275e-15,0.004109845129146521
3,200.0,10000,4,0.9950354526501812,201.42823293577905,SciPy Brent,reference,201.42823293577672,1.1570275622862573e-14,0.007141164678883598
3,200.0,10000,5,0.9949970804119679,199.88328463087427,SciPy Brent,reference,199.88328463087606,8.958066190587698e-15,0.0005835768456196888
3,200.0,10000,6,0.9950273243891754,201.098981365924,SciPy Brent,reference,201.09898136592435,1.6959832956301608e-15,0.005494906829621726
3,200.0,10000,7,0.9949098131550378,196.4564426529267,SciPy Brent,reference,196.4564426529279,6.0762160810671946e-15,0.017717786735360477
3,200.0,10000,8,0.9951144342099554,204.6845837257401,SciPy Brent,reference,204.68458372573966,2.2216981006043268e-15,0.023422918628698285
3,200.0,10000,9,0.9950173712071073,200.6972707712882,SciPy Brent,reference,200.69727077128871,2.54906689952089e-15,0.0034863538564435716
3,200.0,10000,10,0.9949961456036573,199.84594290571394,SciPy Brent,reference,199.84594290571283,5.546505731711123e-15,0.0007702854714358409
3,200.0,10000,11,0.9949996904753768,199.98761978147013,SciPy Brent,reference,199.98761978146993,9.94821410596447e-16,6.190109265034493e-05
3,200.0,10000,12,0.9950002656657401,200.01062719425906,SciPy Brent,reference,200.010627194261,9.662867760473412e-15,5.313597130495395e-05
3,200.0,10000,13,0.9950379813211359,201.5308818283026,SciPy Brent,reference,201.5308818283047,1.0436149927839627e-14,0.007654409141523501
3,200.0,10000,14,0.9949493491977975,197.99428611535077,SciPy Brent,reference,197.99428611534967,5.598377051850775e-15,0.010028569423251667
3,200.0,10000,15,0.9949995679849327,199.98272089027594,SciPy Brent,reference,199.98272089027574,9.948457803111228e-16,8.639554862128308e-05
3,200.0,10000,16,0.9949210807482993,196.89228169263572,SciPy Brent,reference,196.89228169263524,2.4539766422694663e-15,0.015538591536823815
3,200.0,10000,17,0.995024536297457,200.98629188851194,SciPy Brent,reference,200.98629188851336,7.070559181759935e-15,0.004931459442566819
3,200.0,10000,18,0.9950387993140846,201.56410984118077,SciPy Brent,reference,201.56410984118264,9.30638308518663e-15,0.00782054920591321
3,200.0,10000,19,0.9951439222641294,205.9275107178076,SciPy Brent,reference,205.92751071780674,4.140540911411052e-15,0.0296375535890337
3,200.0,10000,0,0.9948799403522685,195.3102246461235,Direct likelihood,reference,195.31020996408336,7.517292122223348e-08,0.02344895017958322
3,200.0,10000,1,0.9950012997786438,200.05200466466337,Direct likelihood,reference,200.0520134547745,4.393913049388318e-08,0.00026006727387255067
3,200.0,10000,2,0.9949166714652387,196.72149717683922,Direct likelihood,reference,196.72151168891597,7.376965381971733e-08,0.016392441555420162
3,200.0,10000,3,0.9949793659716936,199.17803097417172,Direct likelihood,reference,199.17804146674962,5.267939364873178e-08,0.004109792666251905
3,200.0,10000,4,0.9950354526501812,201.42823293577905,Direct likelihood,reference,201.42823326435732,1.6312423637353915e-09,0.007141166321786585
3,200.0,10000,5,0.9949970804119679,199.88328463087427,Direct likelihood,reference,199.88329339551623,4.3848798951446314e-08,0.0005835330224188339
3,200.0,10000,6,0.9950273243891754,201.098981365924,Direct likelihood,reference,201.09896400023982,8.635391422020296e-08,0.005494820001199088
3,200.0,10000,7,0.9949098131550378,196.4564426529267,Direct likelihood,reference,196.45643478279797,4.0060425784099116e-08,0.01771782608601015
3,200.0,10000,8,0.9951144342099554,204.6845837257401,Direct likelihood,reference,204.684590127548,3.1276453643624864e-08,0.02342295063774003
3,200.0,10000,9,0.9950173712071073,200.6972707712882,Direct likelihood,reference,200.6972828461238,6.016442357788912e-08,0.0034864142306190614
3,200.0,10000,10,0.9949961456036573,199.84594290571394,Direct likelihood,reference,199.84594601818844,1.5574369220995574e-08,0.000770269909057788
3,200.0,10000,11,0.9949996904753768,199.98761978147013,Direct likelihood,reference,199.987628974513,4.596805982786764e-08,6.185512743499544e-05
3,200.0,10000,12,0.9950002656657401,200.01062719425906,Direct likelihood,reference,200.0106275957219,2.0072075532626284e-09,5.313797860949876e-05
3,200.0,10000,13,0.9950379813211359,201.5308818283026,Direct likelihood,reference,201.53089233956658,5.2157088207759715e-08,0.0076544616978328865
3,200.0,10000,14,0.9949493491977975,197.99428611535077,Direct likelihood,reference,197.99432222763767,1.8239055076234314e-07,0.010028388861811663
3,200.0,10000,15,0.9949995679849327,199.98272089027594,Direct likelihood,reference,199.98273555159938,7.331295108027508e-08,8.632224200312066e-05
3,200.0,10000,16,0.9949210807482993,196.89228169263572,Direct likelihood,reference,196.89229636771515,7.453354342307604e-08,0.015538518161424264
3,200.0,10000,17,0.995024536297457,200.98629188851194,Direct likelihood,reference,200.98628247131475,4.6854922803220684e-08,0.004931412356573759
3,200.0,10000,18,0.9950387993140846,201.56410984118077,Direct likelihood,reference,201.56411308141242,1.6075439480611723e-08,0.007820565407062077
3,200.0,10000,19,0.9951439222641294,205.9275107178076,Direct likelihood,reference,205.92752615603354,7.496922528728672e-08,0.029637630780167682
3,1000.0,10000,0,0.99897598801967,976.5510748006702,Banerjee,closed_form,977.0497946545466,0.000510695105197872,0.022950205345453355
3,1000.0,10000,1,0.9990002598483193,1000.2599158580041,Banerjee,closed_form,1000.7586660578314,0.0004986206004261491,0.0007586660578314195
