dimension,kappa_true,num_samples,seed,r_bar,banerjee,sra_two_step,cusf_converged,scipy_brentq,direct_likelihood,newton_iterations,newton_converged
16,50.0,10000,4,0.8592989489326748,50.13002636830581,49.769974965394645,49.76997507236656,49.7699750723676,49.76997443722439,3,True
16,50.0,10000,5,0.859527876296334,50.21762222786361,49.8573535904324,49.85735369715337,49.857353697153634,49.857353457463304,3,True
16,50.0,10000,6,0.8604970609414486,50.59162444529338,50.230435684164156,50.230435789820454,50.230435789822,50.23043327815415,3,True
16,50.0,10000,7,0.8595362658456109,50.22083774813656,49.860561148906974,49.86056125562049,49.86056125561994,49.86056102682518,3,True
16,50.0,10000,8,0.8590513019228052,50.03558530311944,49.675768853268806,49.675768960511796,49.67576896051023,49.67576892964016,3,True
16,50.0,10000,9,0.8598508231297639,50.34167568036835,49.981100523291154,49.98110062966063,49.981100629660574,49.98110184089305,3,True
16,50.0,10000,10,0.8594149420446126,50.17437417005449,49.81421270356322,49.8142128104054,49.81421281040643,49.81421346508715,3,True
16,50.0,10000,11,0.8601519170744499,50.45784641709862,50.09698541022133,50.096985516260816,50.096985516259636,50.0969849697412,3,True
16,50.0,10000,12,0.8607543973487792,50.69179609366291,50.33036290283402,50.3303630082086,50.33036300820829,50.33036351618183,3,True
16,50.0,10000,13,0.8597636196119014,50.30812240182067,49.9476300203432,49.947630126808384,49.9476301268072,49.947629122531964,3,True
16,50.0,10000,14,0.8593743575013958,50.15884917922785,49.79872622377698,49.798726330663186,49.79872633066504,49.79872647093525,3,True
16,50.0,10000,15,0.8596581935114819,50.26761282019338,49.90722050388645,49.90722061046354,49.90722061046505,49.90721968047744,3,True
16,50.0,10000,16,0.8605018549693432,50.59348723545609,50.23229392120168,50.23229402685568,50.2322940268554,50.23229262954014,3,True
16,50.0,10000,17,0.859050766714004,50.03538155558763,49.67556561346231,49.67556572070226,49.675565720703375,49.675563101284226,3,True
16,50.0,10000,18,0.8603514209884091,50.5350943348516,50.174043886832536,50.174043992651114,50.17404399265142,50.174044878492765,3,True
16,50.0,10000,19,0.8599333514274745,50.37346822205245,50.012814721877696,50.01281482815653,50.01281482815533,50.012814980519096,3,True
64,50.0,10000,0,0.5490181689679348,50.061159476232866,49.936572499655604,49.936572499655604,49.93657250004973,49.93657164757636,2,True
64,50.0,10000,1,0.5488804622384832,50.03789243264833,49.91338615046729,49.91338615046729,49.91338615086131,49.91338607986742,2,True
64,50.0,10000,2,0.5505705893485957,50.32433941297646,50.19884091202625,50.19884091202625,50.19884091243113,50.19884059969171,2,True
64,50.0,10000,3,0.5485308057270422,49.97887117488404,49.85456966832108,49.85456966832108,49.85456966871303,49.85456973819973,2,True
64,50.0,10000,4,0.5492822595098797,50.105815986183,49.98107418202692,49.98107418202692,49.981074182423974,49.981072705485715,2,True
64,50.0,10000,5,0.5497750487874254,50.18926963598263,50.0642386661502,50.0642386661502,50.064238666550835,50.06423741753109,2,True
64,50.0,10000,6,0.5481558232828095,49.915665660792634,49.79158357265667,49.79158357265667,49.7915835730462,49.79158280305293,2,True
64,50.0,10000,7,0.5498707385495919,50.205493598307925,50.08040643914299,50.08040643914299,50.080406439544,50.08040421629249,2,True
64,50.0,10000,8,0.5497834286037994,50.19069016670588,50.065654276729205,50.065654276729205,50.06565427712826,50.06565505385866,2,True
64,50.0,10000,9,0.5494959863071309,50.141990480075734,50.01712330386889,50.01712330386889,50.01712330426634,50.01712287272116,2,True
64,50.0,10000,10,0.5488123064867244,50.02638147603173,49.901915122488,49.901915122488,49.90191512288122,49.90191596359077,2,True
64,50.0,10000,11,0.548736600845751,50.01359904681246,49.889177037379206,49.889177037379206,49.88917703777177,49.88917576184072,2,True
64,50.0,10000,12,0.5496545655755102,50.16885077450762,50.0438905346836,50.0438905346836,50.04389053508276,50.04389003940712,2,True
64,50.0,10000,13,0.5497122362910828,50.17862328509751,50.05362919203806,50.05362919203806,50.053629192437604,50.05362894647229,2,True
64,50.0,10000,14,0.5497465430048755,50.18443774330288,50.05942350969558,50.05942350969558,50.05942351009454,50.05942181328484,2,True
64,50.0,10000,15,0.5506232831271548,50.33330106100491,50.20777156138236,50.20777156138236,50.20777156178712,50.207769146628735,2,True
64,50.0,10000,16,0.5486780143699077,50.00370971304699,49.879322014799385,49.879322014799385,49.8793220151923,49.87932050396918,2,True
64,50.0,10000,17,0.5476627858647946,49.83270374449282,49.708909855620746,49.708909855620746,49.70890985600607,49.70890871912829,2,True
64,50.0,10000,18,0.5494341949560919,50.13152878432966,50.00669786143728,50.00669786143728,50.00669786183437,50.00669752503127,2,True
64,50.0,10000,19,0.5493194007733153,50.11210015729923,49.98733657065741,49.98733657065741,49.987336571054826,49.98733472584449,2,True
256,50.0,10000,0,0.1888622821732238,50.13009619232542,50.123679501485,50.123679501485,50.1236795014852,50.12367623792386,2,True
256,50.0,10000,1,0.188776877114983,50.105757469605486,50.099349291210174,50.099349291210174,50.09934929121111,50.09934121835562,2,True
256,50.0,10000,2,0.18902400514444362,50.176190500958995,50.16975767099471,50.16975767099471,50.16975767099492,50.16975112183498,2,True
256,50.0,10000,3,0.18951900622702494,50.31732888561021,50.31084649455033,50.31084649455033,50.31084649454944,50.310841134667925,2,True
256,50.0,10000,4,0.1889459522546841,50.15394278784893,50.14751775042655,50.14751775042655,50.147517750425045,50.147515521129165,2,True
